split,station_id,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_ratio,district_hypothesis
train_2023_2024,2301, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,20904,1557,2642,7844,0.07448335246842709,0.12638729429774206,0.3752391886720245,0.3752391886720245,주거지구 후보
train_2023_2024,2302, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,15397,2021,2543,5845,0.13125933623433136,0.1651620445541339,0.37961940637786584,0.37961940637786584,주거지구 후보
train_2023_2024,2303, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,16447,1931,2601,5912,0.11740742992643036,0.1581443424332705,0.3594576518514015,0.3594576518514015,주거지구 후보
train_2023_2024,2304, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,2526,407,461,807,0.1611243072050673,0.18250197941409343,0.3194774346793349,0.3194774346793349,주거지구 후보
train_2023_2024,2305, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,5223,2204,1069,890,0.42197970515029676,0.20467164464866935,0.17040015316867702,0.42197970515029676,업무/상업지구 후보
train_2023_2024,2306, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,30355,3086,5632,12826,0.10166364684565969,0.18553780266842365,0.42253335529566793,0.42253335529566793,주거지구 후보
train_2023_2024,2307, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,6354,589,1229,2140,0.09269751337740006,0.1934214667925716,0.3367957192319799,0.3367957192319799,주거지구 후보
train_2023_2024,2308, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,16430,1507,3429,5488,0.09172245891661594,0.20870359099208766,0.3340231284236153,0.3340231284236153,주거지구 후보
train_2023_2024,2309, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,3851,397,713,1215,0.10309010646585302,0.18514671513892494,0.31550246689171646,0.31550246689171646,주거지구 후보
train_2023_2024,2310, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,7677,1128,1410,1759,0.14693239546697928,0.18366549433372412,0.2291259606617168,0.2291259606617168,주거지구 후보
train_2023_2024,2311, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,2767,435,482,810,0.15720997470184314,0.1741958800144561,0.29273581496205275,0.29273581496205275,주거지구 후보
train_2023_2024,2312, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,6181,667,858,2222,0.10791134120692444,0.13881248988836759,0.3594887558647468,0.3594887558647468,주거지구 후보
train_2023_2024,2313, 금원빌딩 앞,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,9089,3006,1166,1833,0.3307294531851689,0.12828694025745407,0.20167235119375068,0.3307294531851689,업무/상업지구 후보
train_2023_2024,2314, 청담나들목입구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,6533,1014,948,2330,0.15521200061227614,0.1451094443594061,0.35665084953313947,0.35665084953313947,주거지구 후보
train_2023_2024,2315, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,10146,1776,2102,3072,0.17504435245416913,0.2071752414744727,0.30277942046126555,0.30277942046126555,주거지구 후보
train_2023_2024,2317, 삼성도로공원,서울특별시 강남구 영동대로112길 66,37.51588821,127.06620026,7886,1178,1469,2727,0.1493786457012427,0.18627948262744104,0.3458026883083946,0.3458026883083946,주거지구 후보
train_2023_2024,2318, 삼성중앙역4번출구(문화센터더 리빌),서울특별시 강남구 봉은사로 531,37.51357651,127.05503082,2620,437,539,790,0.166793893129771,0.20572519083969465,0.3015267175572519,0.3015267175572519,주거지구 후보
train_2023_2024,2319, 포스코사거리 서측(수협 삼성동 지점),서울특별시 강남구 테헤란로 435,37.50660706,127.05467987,13313,4402,3042,2390,0.33065424772778484,0.2284984601517314,0.17952377375497633,0.33065424772778484,업무/상업지구 후보
train_2023_2024,2320, 도곡역 대치지구대 방향,서울특별시 강남구 남부순환로 지하 2814,37.4919281,127.05696869,12008,1635,2538,3537,0.13615922718187876,0.2113590939373751,0.29455363091272485,0.29455363091272485,주거지구 후보
train_2023_2024,2321, 학여울역 사거리,서울특별시 강남구 남부순환로 지하 3104,37.49611664,127.06944275,8257,961,1579,2595,0.11638609664527068,0.19123168220903475,0.31427879375075696,0.31427879375075696,주거지구 후보
train_2023_2024,2323, 주식회사 오뚜기 정문 앞,서울특별시 강남구 영동대로 308,37.50221252,127.06720734,10069,5885,1653,1116,0.5844671764822723,0.16416724600258217,0.11083523686562717,0.5844671764822723,업무/상업지구 후보
train_2023_2024,2324, 천주교 대치 2동 교회 옆,서울특별시 강남구 도곡로 540,37.50043869,127.06622314,17720,3041,3704,5149,0.17161399548532733,0.20902934537246048,0.2905756207674944,0.2905756207674944,주거지구 후보
train_2023_2024,2325, 대치삼성아파트 앞 교차로,서울특별시 강남구 도곡로 447,37.4986496,127.05931854,17639,2582,4205,5725,0.14638018028232894,0.2383921991042576,0.324564884630648,0.324564884630648,주거지구 후보
train_2023_2024,2326, 대치동 삼성로,서울특별시 강남구 삼성로 350,37.50239563,127.05879974,8227,1162,1539,2604,0.14124225112434666,0.18706697459584296,0.31651877962805397,0.31651877962805397,주거지구 후보
train_2023_2024,2327, 뱅뱅사거리 랜드마크타워 앞,서울특별시 강남구 강남대로 308,37.49055099,127.03146362,16593,5741,2905,3746,0.3459892725848249,0.17507382631230037,0.2257578496956548,0.3459892725848249,업무/상업지구 후보
train_2023_2024,2328, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,서울특별시 강남구 언주로 506,37.50321198,127.04273224,12169,3636,2475,2647,0.2987920124907552,0.20338565206672693,0.21751992768510148,0.2987920124907552,업무/상업지구 후보
train_2023_2024,2329, 르네상스호텔사거리 역삼지하보도 2번출구,서울특별시 강남구 테헤란로 지하 156,37.50235748,127.04319,9854,2748,2224,1962,0.27887152425411,0.2256951491779988,0.19910696163994318,0.27887152425411,업무/상업지구 후보
train_2023_2024,2330, 역삼월드메르디앙아파트 앞,서울특별시 강남구 도곡로 183,37.49219894,127.03945923,9774,1549,1864,2990,0.1584816861059955,0.19071004706363823,0.3059136484550849,0.3059136484550849,주거지구 후보
train_2023_2024,2331, 동영문화센터앞,서울특별시 강남구 언주로 337,37.49805069,127.04460144,10542,2748,1937,2894,0.26067159931701767,0.18374122557389488,0.27452096376399165,0.27452096376399165,주거지구 후보
train_2023_2024,2332, 선릉역3번출구,서울특별시 강남구 선릉로 435,37.50400925,127.0490799,31040,4483,6922,10145,0.14442654639175256,0.22300257731958764,0.32683634020618557,0.32683634020618557,주거지구 후보
train_2023_2024,2333, 양재역 3번출구 주변,서울특별시 강남구 강남대로 240,37.48515701,127.03407288,8669,1002,1427,3393,0.11558426577459914,0.1646095282039451,0.39139462452416657,0.39139462452416657,주거지구 후보
train_2023_2024,2334, 삼호아파트 2동 ( 간선도로),서울특별시 강남구 선릉로 지하 228,37.49375916,127.04589844,4439,1425,982,854,0.32101824735300744,0.2212209957197567,0.1923856724487497,0.32101824735300744,업무/상업지구 후보
train_2023_2024,2335, 3호선 매봉역 3번출구앞,서울특별시 강남구 남부순환로 2748,37.48676682,127.04676056,35739,11470,5974,9471,0.3209379109656118,0.16715632782114775,0.26500461680517085,0.3209379109656118,업무/상업지구 후보
train_2023_2024,2336, 강남세브란스교차로 래미안그레이튼 104동 앞,서울특별시 강남구 선릉로 지하 228,37.49423599,127.04746246,7834,1598,1771,1773,0.20398263977533826,0.226065866734746,0.226321164156242,0.226321164156242,주거지구 후보
train_2023_2024,2337, 대모산입구역 2번출구 앞,서울특별시 강남구 영동대로 101,37.49207687,127.07197571,8313,941,1204,3052,0.11319619872488873,0.14483339348009142,0.36713581137976664,0.36713581137976664,주거지구 후보
train_2023_2024,2339, 현대아파트 정문 앞,서울특별시 강남구 언주로 107,37.48326111,127.0522995,9178,884,1395,3520,0.09631728045325778,0.15199389845282196,0.38352582261930707,0.38352582261930707,주거지구 후보
train_2023_2024,2340, 삼호물산버스정류장(23370) 옆,서울특별시 강남구 논현로 82,37.47750854,127.04517365,33055,8660,4286,8723,0.2619875964301921,0.1296626834064438,0.2638935108153078,0.2638935108153078,주거지구 후보
