station_id,mapped_dong_code,mapped_dong_name,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,dominant_ratio,district_hypothesis
2301,11680510,신사동,7.0,1754.0,676.3932200344976,20,34711.2626499658,47294.58111371408,44266.38985273598, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,20904,1557,2642,7844,0.07448335246842709,0.12638729429774206,0.3752391886720245,0.3752391886720245,주거지구 후보
2302,11680521,논현1동,-125.0,1922.0,129.30158007069147,40,43807.05390064979,51912.863196648424,45663.3832001026, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,15397,2021,2543,5845,0.13125933623433136,0.1651620445541339,0.37961940637786584,0.37961940637786584,주거지구 후보
2303,11680521,논현1동,-2241.0,910.0,31.250221522971053,40,43807.05390064979,51912.863196648424,45663.3832001026, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,16447,1931,2601,5912,0.11740742992643036,0.1581443424332705,0.3594576518514015,0.3594576518514015,주거지구 후보
2304,11680531,논현2동,-751.0,-1352.0,455.99558563352826,12,48771.59621426129,62230.2112386115,48357.27645215458, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,2526,407,461,807,0.1611243072050673,0.18250197941409343,0.3194774346793349,0.3194774346793349,주거지구 후보
2305,11680531,논현2동,1661.0,-1498.0,683.8902474091004,16,48771.59621426129,62230.2112386115,48357.27645215458, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,5223,2204,1069,890,0.42197970515029676,0.20467164464866935,0.17040015316867702,0.42197970515029676,업무/상업지구 후보
2306,11680545,압구정동,-3991.0,3268.0,23.266637636051197,24,40653.44209463064,53924.654357660744,48026.726367510266, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,30355,3086,5632,12826,0.10166364684565969,0.18553780266842365,0.42253335529566793,0.42253335529566793,주거지구 후보
2307,11680545,압구정동,-501.0,-139.0,173.99806305580933,20,40653.44209463064,53924.654357660744,48026.726367510266, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,6354,589,1229,2140,0.09269751337740006,0.1934214667925716,0.3367957192319799,0.3367957192319799,주거지구 후보
2308,11680545,압구정동,-1320.0,689.0,484.7372548025296,20,40653.44209463064,53924.654357660744,48026.726367510266, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,16430,1507,3429,5488,0.09172245891661594,0.20870359099208766,0.3340231284236153,0.3340231284236153,주거지구 후보
2309,11680565,청담동,-2290.0,-617.0,353.45653787576214,32,44485.18132588919,53001.089906737354,42721.22389463064, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,3851,397,713,1215,0.10309010646585302,0.18514671513892494,0.31550246689171646,0.31550246689171646,주거지구 후보
2310,11680565,청담동,613.0,-454.0,420.1698862481745,28,44485.18132588919,53001.089906737354,42721.22389463064, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,7677,1128,1410,1759,0.14693239546697928,0.18366549433372412,0.2291259606617168,0.2291259606617168,주거지구 후보
2311,11680565,청담동,-801.0,-728.0,168.44798043937465,36,44485.18132588919,53001.089906737354,42721.22389463064, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,2767,435,482,810,0.15720997470184314,0.1741958800144561,0.29273581496205275,0.29273581496205275,주거지구 후보
2312,11680565,청담동,-2109.0,465.0,295.3513348985482,36,44485.18132588919,53001.089906737354,42721.22389463064, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,6181,667,858,2222,0.10791134120692444,0.13881248988836759,0.3594887558647468,0.3594887558647468,주거지구 후보
2313,11680565,청담동,2160.0,-523.0,644.1989428798224,28,44485.18132588919,53001.089906737354,42721.22389463064, 금원빌딩 앞,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,9089,3006,1166,1833,0.3307294531851689,0.12828694025745407,0.20167235119375068,0.3307294531851689,업무/상업지구 후보
2314,11680580,삼성1동,355.0,443.0,627.1679745915606,8,44052.2044621751,68106.46228580711,46531.80653272913, 청담나들목입구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,6533,1014,948,2330,0.15521200061227614,0.1451094443594061,0.35665084953313947,0.35665084953313947,주거지구 후보
2315,11680580,삼성1동,-1714.0,634.0,77.16079792992284,36,44052.2044621751,68106.46228580711,46531.80653272913, 봉은사역 5번출구 옆,서울특별시 강남구 봉은사로 지하 601,37.51424789,127.06111908,10146,1776,2102,3072,0.17504435245416913,0.2071752414744727,0.30277942046126555,0.30277942046126555,주거지구 후보
