feature,month,left_year,right_year,corr,nrmse,high_similarity_flag
bike_change_lag_1,1,2023,2024,0.9887891217608044,0.45460459259382135,False
bike_change_lag_1,1,2023,2025,0.9728038146476728,0.34171253267947405,True
bike_change_lag_1,1,2024,2025,0.9703301134298468,0.264547117005182,True
bike_change_lag_1,2,2023,2024,0.980022519109454,0.21332619661752383,True
bike_change_lag_1,2,2023,2025,0.9585430281879008,0.2865961142423849,True
bike_change_lag_1,2,2024,2025,0.9628909184887732,0.27756248622389834,True
bike_change_lag_1,3,2023,2024,0.9898699722466882,0.14960833930167083,True
bike_change_lag_1,3,2023,2025,0.9777104170449877,0.2220054189394992,True
bike_change_lag_1,3,2024,2025,0.9814419765893847,0.19289418128754032,True
bike_change_lag_1,4,2023,2024,0.9878766684663737,0.39231271550818214,False
bike_change_lag_1,4,2023,2025,0.9637022525563551,0.352272673770299,False
bike_change_lag_1,4,2024,2025,0.9749238314888908,0.23991297580587623,True
bike_change_lag_1,5,2023,2024,0.990615485486671,0.21398986326846586,True
bike_change_lag_1,5,2023,2025,0.96777457163055,0.3368601398255202,True
bike_change_lag_1,5,2024,2025,0.9680921019527866,0.4096131833693052,False
bike_change_lag_1,6,2023,2024,0.9736722732240625,0.38004366885331037,False
bike_change_lag_1,6,2023,2025,0.969812606002399,0.24865035417311446,True
bike_change_lag_1,6,2024,2025,0.9888278628084556,0.3065592088099309,True
bike_change_lag_1,7,2023,2024,0.9681790577309055,0.3434013789223393,True
bike_change_lag_1,7,2023,2025,0.9776710904993741,0.26686559794777787,True
bike_change_lag_1,7,2024,2025,0.9819959688082522,0.19173357875207986,True
bike_change_lag_1,8,2023,2024,0.99356480401959,0.11359638707009896,True
bike_change_lag_1,8,2023,2025,0.9802631240650608,0.19848745258537673,True
bike_change_lag_1,8,2024,2025,0.9874050136566326,0.15853210087944977,True
bike_change_lag_1,9,2023,2024,0.9800142688558988,0.20159166717802507,True
bike_change_lag_1,9,2023,2025,0.9709835310053322,0.2421229649341385,True
bike_change_lag_1,9,2024,2025,0.9839592798546203,0.17881268836846534,True
bike_change_lag_1,10,2023,2024,0.9946989701175449,0.1855182444857448,True
bike_change_lag_1,10,2023,2025,0.974716431502068,0.3846270470706595,False
bike_change_lag_1,10,2024,2025,0.9766936737655071,0.2861858360890239,True
bike_change_lag_1,11,2023,2024,0.9896342429144598,0.21412903064393893,True
bike_change_lag_1,11,2023,2025,0.9803116572122095,0.2567640217355206,True
bike_change_lag_1,11,2024,2025,0.9871346236197367,0.15996337970512448,True
bike_change_lag_1,12,2023,2024,0.9689118497845048,0.3352067277619347,True
bike_change_lag_1,12,2023,2025,0.9421423398095331,0.3851717437902803,False
bike_change_lag_1,12,2024,2025,0.9814979651223433,0.19454417575910032,True
