feature,year_month,adjacent_similarity_mean,adjacent_similarity_max,similar_neighbor_count,suggested_weight,downweight_flag
bike_change_lag_1,2023-01,0.4756135336333375,0.4756135336333375,0,0.7621932331833312,True
bike_change_lag_1,2023-02,0.4843993915202284,0.4931852494071193,0,0.7578003042398858,True
bike_change_lag_1,2023-03,0.6325192443785771,0.7718532393500349,1,0.6837403778107114,True
bike_change_lag_1,2023-04,0.7436902602540826,0.7718532393500349,2,0.6281548698729587,True
bike_change_lag_1,2023-05,0.7529850387101602,0.79044279626219,2,0.6235074806449199,True
bike_change_lag_1,2023-06,0.7666377091167618,0.79044279626219,2,0.6166811454416191,True
bike_change_lag_1,2023-07,0.7425104945014139,0.7428326219713335,2,0.6287447527492931,True
bike_change_lag_1,2023-08,0.7369273059794483,0.7421883670314944,2,0.6315363470102758,True
bike_change_lag_1,2023-09,0.7082866460251062,0.7316662449274022,2,0.645856676987447,True
bike_change_lag_1,2023-10,0.7001615052288797,0.7154159633349493,2,0.6499192473855602,True
bike_change_lag_1,2023-11,0.5779064484480974,0.7154159633349493,1,0.7110467757759513,True
bike_change_lag_1,2023-12,0.5969614956017044,0.7535260576421634,1,0.7015192521991478,True
bike_change_lag_1,2024-01,0.7762243571429615,0.7989226566437594,2,0.6118878214285193,True
bike_change_lag_1,2024-02,0.62028216548629,0.7989226566437594,1,0.689858917256855,True
bike_change_lag_1,2024-03,0.3541599485041683,0.44164167432882073,0,0.8229200257479159,True
bike_change_lag_1,2024-04,0.5406335956507218,0.8145889686219276,1,0.7296832021746391,True
bike_change_lag_1,2024-05,0.8347747380092028,0.854960507396478,2,0.5826126309953986,True
bike_change_lag_1,2024-06,0.8013072498652037,0.854960507396478,2,0.5993463750673982,True
bike_change_lag_1,2024-07,0.76461366785269,0.7815733433714505,2,0.617693166073655,True
bike_change_lag_1,2024-08,0.752015062052138,0.7815733433714505,2,0.623992468973931,True
bike_change_lag_1,2024-09,0.7294017668047046,0.7363467528765836,2,0.6352991165976477,True
bike_change_lag_1,2024-10,0.7509529172356626,0.7655590815947416,2,0.6245235413821687,True
bike_change_lag_1,2024-11,0.6801823749358815,0.7655590815947416,1,0.6599088125320592,True
bike_change_lag_1,2024-12,0.5948056682770213,0.5948056682770213,0,0.7025971658614893,True
bike_change_rollmean_168,2023-01,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-02,0.05011869766242679,0.10023739532485358,0,0.9749406511687866,False
bike_change_rollmean_168,2023-03,0.05011869766242679,0.10023739532485358,0,0.9749406511687866,False
bike_change_rollmean_168,2023-04,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-05,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-06,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-07,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-08,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-09,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-10,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-11,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2023-12,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-01,0.16515085294442633,0.33030170588885266,0,0.9174245735277868,False
bike_change_rollmean_168,2024-02,0.16515085294442633,0.33030170588885266,0,0.9174245735277868,False
bike_change_rollmean_168,2024-03,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-04,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-05,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-06,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-07,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-08,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-09,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-10,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-11,0.0,0.0,0,1.0,False
bike_change_rollmean_168,2024-12,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-01,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-02,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-03,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-04,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-05,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-06,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-07,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-08,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-09,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-10,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2023-11,0.07290130475004554,0.14580260950009108,0,0.9635493476249772,False
bike_change_rollmean_24,2023-12,0.07290130475004554,0.14580260950009108,0,0.9635493476249772,False
bike_change_rollmean_24,2024-01,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-02,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-03,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-04,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-05,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-06,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-07,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-08,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-09,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-10,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-11,0.0,0.0,0,1.0,False
bike_change_rollmean_24,2024-12,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-01,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-02,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-03,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-04,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-05,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-06,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-07,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-08,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-09,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-10,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-11,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2023-12,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-01,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-02,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-03,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-04,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-05,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-06,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-07,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-08,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-09,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-10,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-11,0.0,0.0,0,1.0,False
bike_change_rollstd_168,2024-12,0.0,0.0,0,1.0,False
