station_id,cluster,gangnam_station_name,gangnam_address,gangnam_lat,gangnam_lon,gangnam_lcd_rack,gangnam_qr_rack,gangnam_operation_type,resolved_api_station_id,api_station_id,master_api_station_id,realtime_station_name,master_station_name,master_station_id_name,realtime_bike_stock,realtime_capacity,master_capacity,realtime_matched,operational_status,mapping_source,zero_coordinate_candidate,exception_note
2301,2, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,10,0,LCD,ST-777,ST-777,,2301. 현대고등학교 건너편,,,7.0,10.0,,True,realtime_available,bikeList,False,
2302,2, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,10,0,LCD,ST-787,ST-787,,2302. 교보타워 버스정류장(신논현역 3번출구 후면),,,5.0,10.0,,True,realtime_available,bikeList,False,
2303,3, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,15,0,LCD,ST-788,ST-788,,2303. 논현역 10번출구,,,1.0,15.0,,True,realtime_available,bikeList,False,
2304,3, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,0,10,QR,ST-789,ST-789,,2304. 대현그린타워,,,0.0,10.0,,True,realtime_available,bikeList,False,
2305,0, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,6,0,LCD,ST-790,ST-790,,2305. MCM 본사 직영점 앞,,,2.0,6.0,,True,realtime_available,bikeList,False,
2306,2, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,26,0,LCD,ST-791,ST-791,,2306. 압구정역 2번 출구 옆,,,4.0,25.0,,True,realtime_available,bikeList,False,
2307,3, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,10,0,LCD,ST-792,ST-792,,2307. 압구정 한양 3차 아파트,,,2.0,10.0,,True,realtime_available,bikeList,False,
2308,3, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,14,0,LCD,ST-793,ST-793,,2308. 압구정파출소 앞,,,6.0,14.0,,True,realtime_available,bikeList,False,
2309,2, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,10,0,LCD,ST-783,ST-783,,2309. 청담역(우리들병원 앞),,,0.0,10.0,,True,realtime_available,bikeList,False,
2310,0, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,10,0,LCD,ST-794,ST-794,,2310. 청담동 맥도날드 옆(위치),,,1.0,10.0,,True,realtime_available,bikeList,False,
2311,3, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,6,0,LCD,ST-786,ST-786,,2311. 학동로 래미안 아파트 앞,,,1.0,6.0,,True,realtime_available,bikeList,False,
2312,2, 청담역 13번 출구 앞,서울특별시 강남구 영동대로 703,37.52058029,127.05632782,10,0,LCD,ST-795,ST-795,,2312. 청담역 13번 출구 앞,,,4.0,10.0,,True,realtime_available,bikeList,False,
2313,0, 금원빌딩 앞,서울특별시 강남구 도산대로 539,37.52511597,127.05246735,10,0,LCD,ST-796,ST-796,,2313. 금원빌딩 앞,,,0.0,10.0,,True,realtime_available,bikeList,False,
2314,3, 청담나들목입구,서울특별시 강남구 영동대로128길 59,37.52101517,127.06015015,10,0,LCD,ST-798,,ST-798,,청담나들목입구,2314. 청담나들목입구,,,10.0,False,realtime_unavailable_candidate,tbCycleStationInfo_master,False,bikeList 미노출; 마스터 API 존재
