station_id,count,station_name
2384,39,2384. 자곡사거리
2301,34,2301. 현대고등학교 건너편
2377,18,2377. 수서역 5번출구
3627,15,3627. 압구정나들목
2431,13,2431.대치역 7번출구
2372,13,2372. 대치역 사거리
2340,12,2340. 삼호물산버스정류장(23370) 옆
2335,11,2335. 3호선 매봉역 3번출구앞
2423,11,2423.영희초교 사거리(래미안개포루체하임)
2416,10,2416.한티역 6번 출구
2420,10,2420.학여울역 사거리(LG베스트샵 앞)
2387,9,2387. 래미안강남힐즈 사거리
2342,9,2342. 대청역 1번출구  뒤
2308,8,2308. 압구정파출소 앞
2413,8,2413.도곡역 1번 출구
3611,8,3611. 방죽마을 입구
2414,8,2414. 도곡역 아카데미스위트 앞
2375,8,2375. 수서역 1번출구 앞
2404,8,2404. 대모산입구역 4번 출구 앞
2408,7,2408. 강남한양수자인아파트
3623,7,3623. 일원에코파크 앞(개포로 방면)
2320,6,2320. 도곡역 대치지구대 방향
2425,6,2425.세곡동 사거리(대왕초등학교 정류장)
2348,6,2348. 포스코사거리(기업은행)
2303,6,2303. 논현역 10번출구
3614,6,3614. 은마아파트 입구 사거리
3624,6,3624. 대모산입구역 7번 출구 앞
2392,6,2392. 구룡산 입구 (구룡산 서울둘레길 입구)
2306,6,2306. 압구정역 2번 출구 옆
3606,6,3606. 신사동주민센터 옆
2418,5,2418.봉은사역 7번 출구 
2373,5,2373. 개포동역 사거리
2405,5,2405. 청담공원앞 교차로
2321,5,2321. 학여울역 사거리
2325,5,2325. 대치삼성아파트 앞 교차로
3612,5,3612. 은곡마을
3618,5,3618. 서울율현초교 삼거리
2323,5,2323. 주식회사 오뚜기 정문 앞
2324,5,2324. 천주교 대치 2동 교회 옆
2337,5,2337. 대모산입구역 2번출구 앞
2313,5,2313. 금원빌딩 앞
2415,4,2415.한티역 롯데백화점 앞
2318,4,2318. 삼성중앙역4번출구(문화센터더 리빌)
2317,4,2317. 삼성도로공원
2315,4,2315. 봉은사역 5번출구 옆
2369,4,2369. KT선릉타워
2409,4,2409. 역삼동 디오슈페리움 (우성아파트 사거리)
2302,4,2302. 교보타워 버스정류장(신논현역 3번출구 후면)
2407,4,2407. 역삼서초삼성 세무서 앞 (역삼빌딩 앞)
2406,4,2406. 논현동 광명빌딩 앞
2394,4,2394. 개포래미안포레스트아파트 107동 앞
2396,4,2396. 영동3교 북단(우성캐릭터 앞 보도)
3628,4,3628. 역삼1동 주민센터
2344,4,2344. 리엔파크 2단지 앞
2365,4,2365. K+ 타워 앞
2362,4,2362. 신사동 가로수길 입구
2341,4,2341. 일원역 4~5번 출구 사이
2327,4,2327. 뱅뱅사거리 랜드마크타워 앞
2349,4,2349. 역삼빌딩 앞(하나은행 옆)
2426,4,2426.강남한신휴플러스 6단지
2351,4,2351. 청소년수련관(수영장)앞
2326,4,2326. 대치동 삼성로
2356,4,2356. 강남구청
2422,4,2422.수서동 성당 맞은편
2359,4,"2359. 국립국악중,고교 정문 맞은편"
2411,3,2411. 세곡동 성당
2410,3,2410. 포스코피앤에스타워 (역삼역 3번출구 부근)
3642,3,3642. LH강남힐스테이트아파트
3637,3,3637. 세곡데이케어센터
3644,3,3644. 상록수아파트
3651,3,3651. 개포동역 4번출구
4908,3,4908. SB타워 앞
3620,3,3620. 청담역 11번 출구
3604,3,3604. 삼성중앙역 5번출구
2388,3,2388. 강남구 도시관리공단
2403,3,2403. 공무원연금매점 교차로 (개포주공9단지 입구)
2370,3,2370. 한티역 3번출구
2333,3,2333. 양재역 3번출구 주변
2401,3,2401. 밀알학교 입구 (삼성서울병원 입구)
2357,3,2357. 르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번 빌딩 명동칼국수 앞)
2358,3,2358. 구룡초사거리 (현대아파트10동 앞 )
2363,3,2363. 강남 을지병원 교차로
2330,3,2330. 역삼월드메르디앙아파트 앞
2339,3,2339. 현대아파트 정문 앞
2314,3,2314. 청담나들목입구
2376,3,2376. 수서역 6번출구 앞
2383,3,2383. 보금자리정원
2386,3,2386. 크린랩 본사
2309,3,2309. 청담역(우리들병원 앞)
2312,2,2312. 청담역 13번 출구 앞
2319,2,2319. 포스코사거리 서측(수협 삼성동 지점)
2311,2,2311. 학동로 래미안 아파트 앞
3629,2,3629. 청담사거리(신한오피스텔빌딩 앞)
3630,2,3630. 개포우성6차아파트 정문 앞
2305,2,2305. MCM 본사 직영점 앞
2332,2,2332. 선릉역3번출구
3610,2,3610. 윗반마을 입구
3638,2,3638. 신청담나들목
2382,2,2382. 역삼동 sk뷰 501동앞
3641,2,3641. 대청역
2347,2,2347. 두산건설 본사
2430,2,2430.강남파이낸스센터앞(역삼역2번출구)
4906,2,4906. 섬유센터 앞
2304,2,2304. 대현그린타워
4914,2,4914. 도심공항타워 앞
2368,2,2368. 도곡동 경남아파트 건너편
2380,2,2380. 삼성동베이직하우스앞
4903,1,4903. 신사스퀘어
4917,1,4917. 일원에코파크 주차장
2307,1,2307. 압구정 한양 3차 아파트
4913,1,4913. 레베쌍트 빌딩 앞
3646,1,3646. 선정릉역 4번 출구
4909,1,4909. 노보텔 앰배서더 앞
4902,1,4902. 구역삼세무서 교차로
4907,1,4907. 극동스포츠 앞
3647,1,3647. 구룡역 1번 출구
4905,1,4905. 강남경찰서
3616,1,3616. 역삼중학교 앞(체육관 방향)
3640,1,3640. 일원1동주민센터앞 사거리
2350,1,2350. 래미안그레이튼102동앞
2390,1,2390. 구룡마을 입구 (래미안블레스티지 아파트)
2389,1,2389. 경기여자고등학교 후문 (삼성로3길 입구)
2385,1,2385. 학동역
2364,1,2364. 도산공원교차로
2419,1,"2419.봉은사역 1,2번 출구 "
2353,1,2353. 강남구청역 2번출구 뒤
3602,1,3602. 한국지역난방공사강남지사
2310,1,2310. 청담동 맥도날드 옆(위치)
2336,1,2336. 강남세브란스교차로  래미안그레이튼 104동 앞
3609,1,3609. 언주초등학교 입구
2331,1,2331. 동영문화센터앞
3615,1,3615. 서울 논현동우체국 앞
2329,1,2329. 르네상스호텔사거리 역삼지하보도 2번출구
3636,1,3636. 삼성중앙역·플래티넘아파트 정류소
4918,1,4918. 매봉역 1번출구
