timestamp,parking_lot_id,parking_lot_name,total_spaces,available_spaces,is_holiday,weather_temp_c,weather_precip_mm,weather_humidity,event_flag
2026-03-01 00:00:00,nanji_main,?? ???? ???,100,58,1,8.0,0.0,65,0
2026-03-01 01:00:00,nanji_main,?? ???? ???,100,60,1,8.4,0.0,65,0
2026-03-01 02:00:00,nanji_main,?? ???? ???,100,62,1,8.7,0.0,65,0
2026-03-01 03:00:00,nanji_main,?? ???? ???,100,64,1,9.1,0.0,65,0
2026-03-01 04:00:00,nanji_main,?? ???? ???,100,65,1,9.5,0.0,65,0
2026-03-01 05:00:00,nanji_main,?? ???? ???,100,66,1,9.9,0.0,65,0
2026-03-01 06:00:00,nanji_main,?? ???? ???,100,66,1,10.2,0.0,65,0
2026-03-01 07:00:00,nanji_main,?? ???? ???,100,66,1,10.6,0.0,65,0
2026-03-01 08:00:00,nanji_main,?? ???? ???,100,65,1,10.9,0.0,55,0
2026-03-01 09:00:00,nanji_main,?? ???? ???,100,64,1,11.3,0.0,55,0
2026-03-01 10:00:00,nanji_main,?? ???? ???,100,62,1,11.7,0.0,55,0
2026-03-01 11:00:00,nanji_main,?? ???? ???,100,54,1,12.0,0.0,55,0
2026-03-01 12:00:00,nanji_main,?? ???? ???,100,52,1,12.3,0.0,55,0
2026-03-01 13:00:00,nanji_main,?? ???? ???,100,50,1,12.7,0.0,55,0
2026-03-01 14:00:00,nanji_main,?? ???? ???,100,48,1,13.0,0.0,55,0
2026-03-01 15:00:00,nanji_main,?? ???? ???,100,46,1,13.3,0.0,55,0
2026-03-01 16:00:00,nanji_main,?? ???? ???,100,51,1,13.6,0.0,55,0
2026-03-01 17:00:00,nanji_main,?? ???? ???,100,36,1,13.9,0.0,55,0
2026-03-01 18:00:00,nanji_main,?? ???? ???,100,36,1,14.2,0.0,55,1
2026-03-01 19:00:00,nanji_main,?? ???? ???,100,36,1,14.5,0.0,55,1
2026-03-01 20:00:00,nanji_main,?? ???? ???,100,37,1,14.8,0.0,55,1
2026-03-01 21:00:00,nanji_main,?? ???? ???,100,52,1,15.1,0.0,55,0
2026-03-01 22:00:00,nanji_main,?? ???? ???,100,54,1,15.3,0.0,55,0
2026-03-01 23:00:00,nanji_main,?? ???? ???,100,56,1,15.6,0.0,55,0
2026-03-02 00:00:00,nanji_main,?? ???? ???,100,68,0,15.8,0.0,65,0
2026-03-02 01:00:00,nanji_main,?? ???? ???,100,70,0,16.0,0.0,65,0
2026-03-02 02:00:00,nanji_main,?? ???? ???,100,72,0,16.3,0.0,65,0
2026-03-02 03:00:00,nanji_main,?? ???? ???,100,74,0,16.5,0.0,65,0
2026-03-02 04:00:00,nanji_main,?? ???? ???,100,75,0,16.7,0.0,65,0
2026-03-02 05:00:00,nanji_main,?? ???? ???,100,76,0,16.8,0.0,65,0
2026-03-02 06:00:00,nanji_main,?? ???? ???,100,76,0,17.0,0.0,65,0
2026-03-02 07:00:00,nanji_main,?? ???? ???,100,76,0,17.2,0.0,65,0
2026-03-02 08:00:00,nanji_main,?? ???? ???,100,75,0,17.3,0.0,55,0
2026-03-02 09:00:00,nanji_main,?? ???? ???,100,74,0,17.4,0.0,55,0
2026-03-02 10:00:00,nanji_main,?? ???? ???,100,72,0,17.6,0.0,55,0
2026-03-02 11:00:00,nanji_main,?? ???? ???,100,64,0,17.7,0.0,55,0
2026-03-02 12:00:00,nanji_main,?? ???? ???,100,62,0,17.7,0.0,55,0
2026-03-02 13:00:00,nanji_main,?? ???? ???,100,60,0,17.8,0.0,55,0
2026-03-02 14:00:00,nanji_main,?? ???? ???,100,58,0,17.9,0.0,55,0
2026-03-02 15:00:00,nanji_main,?? ???? ???,100,56,0,17.9,0.0,55,0
2026-03-02 16:00:00,nanji_main,?? ???? ???,100,61,0,18.0,0.0,55,0
2026-03-02 17:00:00,nanji_main,?? ???? ???,100,46,0,18.0,0.0,55,0
2026-03-02 18:00:00,nanji_main,?? ???? ???,100,46,0,18.0,0.0,55,0
2026-03-02 19:00:00,nanji_main,?? ???? ???,100,46,0,18.0,0.0,55,0
2026-03-02 20:00:00,nanji_main,?? ???? ???,100,47,0,18.0,0.0,55,0
2026-03-02 21:00:00,nanji_main,?? ???? ???,100,62,0,17.9,0.0,55,0
2026-03-02 22:00:00,nanji_main,?? ???? ???,100,64,0,17.9,0.0,55,0
2026-03-02 23:00:00,nanji_main,?? ???? ???,100,66,0,17.8,0.0,55,0
2026-03-03 00:00:00,nanji_main,?? ???? ???,100,68,0,17.7,0.0,65,0
2026-03-03 01:00:00,nanji_main,?? ???? ???,100,70,0,17.7,0.0,65,0
2026-03-03 02:00:00,nanji_main,?? ???? ???,100,72,0,17.6,0.0,65,0
2026-03-03 03:00:00,nanji_main,?? ???? ???,100,74,0,17.4,0.0,65,0
2026-03-03 04:00:00,nanji_main,?? ???? ???,100,75,0,17.3,0.0,65,0
2026-03-03 05:00:00,nanji_main,?? ???? ???,100,76,0,17.2,0.0,65,0
2026-03-03 06:00:00,nanji_main,?? ???? ???,100,76,0,17.0,0.0,65,0
2026-03-03 07:00:00,nanji_main,?? ???? ???,100,76,0,16.8,0.0,65,0
2026-03-03 08:00:00,nanji_main,?? ???? ???,100,75,0,16.7,0.0,55,0
2026-03-03 09:00:00,nanji_main,?? ???? ???,100,74,0,16.5,0.0,55,0
2026-03-03 10:00:00,nanji_main,?? ???? ???,100,72,0,16.3,0.0,55,0
2026-03-03 11:00:00,nanji_main,?? ???? ???,100,64,0,16.0,0.0,55,0
2026-03-03 12:00:00,nanji_main,?? ???? ???,100,62,0,15.8,0.0,55,0
2026-03-03 13:00:00,nanji_main,?? ???? ???,100,60,0,15.6,0.0,55,0
2026-03-03 14:00:00,nanji_main,?? ???? ???,100,58,0,15.3,0.0,55,0
2026-03-03 15:00:00,nanji_main,?? ???? ???,100,56,0,15.1,0.0,55,0
2026-03-03 16:00:00,nanji_main,?? ???? ???,100,61,0,14.8,0.0,55,0
2026-03-03 17:00:00,nanji_main,?? ???? ???,100,46,0,14.5,0.0,55,0
2026-03-03 18:00:00,nanji_main,?? ???? ???,100,46,0,14.2,0.0,55,0
2026-03-03 19:00:00,nanji_main,?? ???? ???,100,46,0,13.9,0.0,55,0
2026-03-03 20:00:00,nanji_main,?? ???? ???,100,47,0,13.6,0.0,55,0
2026-03-03 21:00:00,nanji_main,?? ???? ???,100,62,0,13.3,0.0,55,0
2026-03-03 22:00:00,nanji_main,?? ???? ???,100,64,0,13.0,0.0,55,0
2026-03-03 23:00:00,nanji_main,?? ???? ???,100,66,0,12.7,0.0,55,0
2026-03-04 00:00:00,nanji_main,?? ???? ???,100,68,0,12.3,0.0,65,0
2026-03-04 01:00:00,nanji_main,?? ???? ???,100,70,0,12.0,0.0,65,0
2026-03-04 02:00:00,nanji_main,?? ???? ???,100,72,0,11.7,0.0,65,0
2026-03-04 03:00:00,nanji_main,?? ???? ???,100,74,0,11.3,0.0,65,0
2026-03-04 04:00:00,nanji_main,?? ???? ???,100,75,0,10.9,3.0,65,0
2026-03-04 05:00:00,nanji_main,?? ???? ???,100,76,0,10.6,3.0,65,0
2026-03-04 06:00:00,nanji_main,?? ???? ???,100,76,0,10.2,0.0,65,0
2026-03-04 07:00:00,nanji_main,?? ???? ???,100,76,0,9.9,0.0,65,0
2026-03-04 08:00:00,nanji_main,?? ???? ???,100,75,0,9.5,0.0,55,0
2026-03-04 09:00:00,nanji_main,?? ???? ???,100,74,0,9.1,0.0,55,0
2026-03-04 10:00:00,nanji_main,?? ???? ???,100,72,0,8.7,0.0,55,0
2026-03-04 11:00:00,nanji_main,?? ???? ???,100,64,0,8.4,0.0,55,0
2026-03-04 12:00:00,nanji_main,?? ???? ???,100,62,0,8.0,0.0,55,0
2026-03-04 13:00:00,nanji_main,?? ???? ???,100,60,0,7.6,0.0,55,0
2026-03-04 14:00:00,nanji_main,?? ???? ???,100,58,0,7.3,0.0,55,0
2026-03-04 15:00:00,nanji_main,?? ???? ???,100,56,0,6.9,0.0,55,0
2026-03-04 16:00:00,nanji_main,?? ???? ???,100,61,0,6.5,0.0,55,0
2026-03-04 17:00:00,nanji_main,?? ???? ???,100,46,0,6.1,0.0,55,0
2026-03-04 18:00:00,nanji_main,?? ???? ???,100,46,0,5.8,0.0,55,0
2026-03-04 19:00:00,nanji_main,?? ???? ???,100,46,0,5.4,0.0,55,0
2026-03-04 20:00:00,nanji_main,?? ???? ???,100,47,0,5.1,0.0,55,0
2026-03-04 21:00:00,nanji_main,?? ???? ???,100,62,0,4.7,0.0,55,0
2026-03-04 22:00:00,nanji_main,?? ???? ???,100,64,0,4.3,0.0,55,0
2026-03-04 23:00:00,nanji_main,?? ???? ???,100,66,0,4.0,0.0,55,0
2026-03-05 00:00:00,nanji_main,?? ???? ???,100,68,0,3.7,0.0,65,0
2026-03-05 01:00:00,nanji_main,?? ???? ???,100,70,0,3.3,0.0,65,0
2026-03-05 02:00:00,nanji_main,?? ???? ???,100,72,0,3.0,0.0,65,0
2026-03-05 03:00:00,nanji_main,?? ???? ???,100,74,0,2.7,0.0,65,0
2026-03-05 04:00:00,nanji_main,?? ???? ???,100,75,0,2.4,0.0,65,0
2026-03-05 05:00:00,nanji_main,?? ???? ???,100,76,0,2.1,0.0,65,0
2026-03-05 06:00:00,nanji_main,?? ???? ???,100,76,0,1.8,0.0,65,0
2026-03-05 07:00:00,nanji_main,?? ???? ???,100,76,0,1.5,0.0,65,0
2026-03-05 08:00:00,nanji_main,?? ???? ???,100,75,0,1.2,0.0,55,0
2026-03-05 09:00:00,nanji_main,?? ???? ???,100,74,0,0.9,0.0,55,0
2026-03-05 10:00:00,nanji_main,?? ???? ???,100,72,0,0.7,0.0,55,0
2026-03-05 11:00:00,nanji_main,?? ???? ???,100,64,0,0.4,0.0,55,0
2026-03-05 12:00:00,nanji_main,?? ???? ???,100,62,0,0.2,0.0,55,0
2026-03-05 13:00:00,nanji_main,?? ???? ???,100,60,0,-0.0,0.0,55,0
2026-03-05 14:00:00,nanji_main,?? ???? ???,100,58,0,-0.3,0.0,55,0
2026-03-05 15:00:00,nanji_main,?? ???? ???,100,56,0,-0.5,0.0,55,0
2026-03-05 16:00:00,nanji_main,?? ???? ???,100,61,0,-0.7,0.0,55,0
2026-03-05 17:00:00,nanji_main,?? ???? ???,100,46,0,-0.8,0.0,55,0
2026-03-05 18:00:00,nanji_main,?? ???? ???,100,46,0,-1.0,0.0,55,0
2026-03-05 19:00:00,nanji_main,?? ???? ???,100,46,0,-1.2,0.0,55,0
2026-03-05 20:00:00,nanji_main,?? ???? ???,100,47,0,-1.3,0.0,55,0
2026-03-05 21:00:00,nanji_main,?? ???? ???,100,62,0,-1.4,0.0,55,0
2026-03-05 22:00:00,nanji_main,?? ???? ???,100,64,0,-1.6,0.0,55,0
2026-03-05 23:00:00,nanji_main,?? ???? ???,100,66,0,-1.7,0.0,55,0
2026-03-06 00:00:00,nanji_main,?? ???? ???,100,68,0,-1.7,0.0,65,0
2026-03-06 01:00:00,nanji_main,?? ???? ???,100,70,0,-1.8,0.0,65,0
2026-03-06 02:00:00,nanji_main,?? ???? ???,100,72,0,-1.9,0.0,65,0
2026-03-06 03:00:00,nanji_main,?? ???? ???,100,74,0,-1.9,0.0,65,0
2026-03-06 04:00:00,nanji_main,?? ???? ???,100,75,0,-2.0,0.0,65,0
2026-03-06 05:00:00,nanji_main,?? ???? ???,100,76,0,-2.0,0.0,65,0
2026-03-06 06:00:00,nanji_main,?? ???? ???,100,76,0,-2.0,0.0,65,0
2026-03-06 07:00:00,nanji_main,?? ???? ???,100,76,0,-2.0,0.0,65,0
2026-03-06 08:00:00,nanji_main,?? ???? ???,100,75,0,-2.0,0.0,55,0
2026-03-06 09:00:00,nanji_main,?? ???? ???,100,74,0,-1.9,0.0,55,0
2026-03-06 10:00:00,nanji_main,?? ???? ???,100,72,0,-1.9,0.0,55,0
2026-03-06 11:00:00,nanji_main,?? ???? ???,100,64,0,-1.8,0.0,55,0
2026-03-06 12:00:00,nanji_main,?? ???? ???,100,62,0,-1.7,0.0,55,0
2026-03-06 13:00:00,nanji_main,?? ???? ???,100,60,0,-1.7,0.0,55,0
2026-03-06 14:00:00,nanji_main,?? ???? ???,100,58,0,-1.6,0.0,55,0
2026-03-06 15:00:00,nanji_main,?? ???? ???,100,56,0,-1.4,0.0,55,0
